"netId","uin","shortcode","totalClasses","comment"
"N/A","668712237","8712237",25,"Attended 25 lectures on dates: 09/06: 09/09: 09/11: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/04: 11/06: 11/08: 11/13: 11/18: 11/20"
"N/A","668822189","8822189",32,"Attended 32 lectures on dates: 08/26: 08/28: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/04: 11/06: 11/08: 11/11: 11/13: 11/18: 11/20: 12/02: 12/04"
"N/A","669708043","9708043",7,"Attended 7 lectures on dates: 08/26: 08/28: 09/04: 09/06: 09/09: 09/11: 09/25"
"N/A","670230560","0230560",12,"Attended 12 lectures on dates: 09/27: 09/30: 10/04: 10/07: 10/18: 10/23: 10/25: 10/28: 10/30: 11/15: 11/20: 12/04"
"N/A","671901702","1901702",28,"Attended 28 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 10/02: 10/04: 10/07: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/01: 11/06: 11/08: 11/11: 11/15: 11/20"
"N/A","672275678","2275678",24,"Attended 24 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 10/02: 10/04: 10/07: 10/11: 10/14: 10/16: 10/21: 10/23: 10/28: 10/30: 11/01: 11/04: 11/06: 11/11: 11/13: 11/15: 11/20: 12/04"
"N/A","672512840","2512840",26,"Attended 26 lectures on dates: 08/28: 08/30: 09/04: 09/06: 09/09: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/14: 10/16: 10/21: 10/23: 10/28: 10/30: 11/01: 11/04: 11/06: 11/08: 11/11: 11/15: 11/20"
"N/A","672796355","2796355",2,"Attended 2 lectures on dates: 08/26: 08/28"
"N/A","673056619","3056619",18,"Attended 18 lectures on dates: 08/28: 08/30: 09/04: 09/06: 09/11: 09/25: 09/27: 10/02: 10/04: 10/09: 10/11: 10/16: 10/18: 11/01: 11/06: 11/08: 11/13: 11/15"
"N/A","674570352","4570352",24,"Attended 24 lectures on dates: 08/26: 08/28: 08/30: 09/06: 09/09: 09/23: 09/25: 09/27: 10/02: 10/09: 10/11: 10/14: 10/18: 10/23: 10/25: 10/28: 10/30: 11/01: 11/04: 11/08: 11/11: 11/13: 11/18: 11/20"
"N/A","674580471","4580471",29,"Attended 29 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/25: 09/30: 10/02: 10/07: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/30: 11/01: 11/04: 11/06: 11/08: 11/11: 11/13: 11/15: 11/18: 11/20: 12/09"
"N/A","675250300","5250300",31,"Attended 31 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 11/01: 11/06: 11/08: 11/11: 11/13: 11/15: 12/04: 12/09"
"N/A","675806141","5806141",5,"Attended 5 lectures on dates: 08/28: 08/30: 09/04: 09/06: 09/09"
"N/A","677120491","7120491",4,"Attended 4 lectures on dates: 08/28: 08/30: 09/04: 09/06"
"N/A","677181960","7181960",5,"Attended 5 lectures on dates: 08/28: 08/30: 09/04: 09/06: 09/09"
"N/A","678415548","8415548",2,"Attended 2 lectures on dates: 08/28: 08/30"
"N/A","678602047","8602047",9,"Attended 9 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/09: 09/11: 09/23: 09/25: 10/02"
"N/A","678862671","8862671",31,"Attended 31 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/01: 11/04: 11/06: 11/08: 11/15: 11/20: 12/02"
"N/A","679459521","9459521",1,"Attended 1 lectures on dates: 08/26"
"N/A","0230560","0230560",3,"Attended 3 lectures on dates: 09/09: 09/25: 10/14"
